N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
177,한일시멘트,"226,500",500,+0.22%,"5,000","15,688","6,926",2.67,"23,469",13.03,N/A
178,아이에스동서,"50,700",800,-1.55%,500,"15,663","30,893",4.51,"88,967",14.46,10.92
179,DGB금융지주,"9,200",40,-0.43%,"5,000","15,561","169,146",49.37,"213,101",3.65,6.93
180,두산,"93,600","1,100",-1.16%,"5,000","15,466","16,524",11.98,"86,220",-153.19,-34.34
181,KG동부제철,"15,300",0,0.00%,"5,000","15,301","100,009",1.66,"130,020",12.51,7.18
182,종근당,"132,500","3,000",+2.32%,"2,500","15,140","11,426",8.03,"81,538",17.79,17.88
183,DL,"72,100",300,-0.41%,"5,000","15,109","20,956",14.95,"45,558",2.33,11.84
184,진원생명과학,"33,400","1,950",+6.20%,"1,000","15,101","45,212",13.75,"2,927,339",-70.02,-30.43
185,대한유화,"232,000","2,000",+0.87%,"5,000","15,080","6,500",13.50,"47,618",6.49,6.93
186,코스맥스,"129,000","1,000",+0.78%,500,"14,641","11,350",24.50,"43,145",29.89,6.23
187,KODEX 단기채권PLUS,"103,195",5,0.00%,0,"14,625","14,172",0.00,"2,933,600",N/A,N/A
188,솔루엠,"29,150",0,0.00%,500,"14,577","50,006",8.11,"452,004",36.48,43.26
189,LG생활건강우,"686,000","2,000",-0.29%,"5,000","14,404","2,100",84.71,"2,468",14.40,N/A
190,신세계인터내셔날,"201,500","1,000",-0.49%,"5,000","14,387","7,140",5.25,"14,322",19.85,8.24
191,동원시스템즈,"56,100",700,-1.23%,"5,000","14,372","25,619",1.32,"88,772",26.66,10.97
192,TIGER 단기통안채,"100,290",5,0.00%,0,"14,075","14,034",0.84,"6,491",N/A,N/A
193,KODEX 종합채권(AA-이상)액티브,"109,825",0,0.00%,0,"14,070","12,811",0.00,"4,443",N/A,N/A
194,영풍,"750,000","6,000",-0.79%,"5,000","13,815","1,842",4.50,"2,268",9.00,4.03
195,NHN,"70,600",400,-0.56%,500,"13,813","19,565",12.35,"41,937",63.04,1.35
196,롯데칠성,"148,000","4,000",+2.78%,500,"13,733","9,279",8.55,"94,906",60.29,-1.00
197,롯데리츠,"5,650",10,+0.18%,500,"13,728","242,969",10.28,"367,702",71.52,1.68
198,SK네트웍스,"5,500",10,-0.18%,"2,500","13,650","248,188",12.87,"330,785",37.41,1.63
199,롯데관광개발,"19,450",0,0.00%,500,"13,474","69,276",6.96,"415,626",-8.62,-30.43
200,후성,"14,500",650,+4.69%,500,"13,428","92,607",6.27,"2,610,001",134.26,2.79
